document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13339,Agency Information Collection Activities; Comment Request on Probable or Prospective Reserves Safe Harbor,Notice,Notice of Information Collection; request for comments.,2026-07-01,,2026-08-31,Treasury Department; Internal Revenue Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13339/agency-information-collection-activities-comment-request-on-probable-or-prospective-reserves-safe,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13339.pdf,True
2026-13338,Agency Information Collection Activities; Comment Request on Statement of Payments Received,Notice,Notice of Information Collection; request for comments.,2026-07-01,,2026-08-31,Treasury Department; Internal Revenue Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13338/agency-information-collection-activities-comment-request-on-statement-of-payments-received,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13338.pdf,True
2026-13337,Center for Scientific Review; Notice of Closed Meetings,Notice,,2026-07-01,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/01/2026-13337/center-for-scientific-review-notice-of-closed-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13337.pdf,True
2026-13311,Center for Scientific Review; Notice of Closed Meetings,Notice,,2026-07-01,,,Health and Human Services Department; National Institutes of Health,,https://www.federalregister.gov/documents/2026/07/01/2026-13311/center-for-scientific-review-notice-of-closed-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13311.pdf,True
2026-13309,"Lists of Designated Primary Medical Care, Mental Health, and Dental Health Professional Shortage Areas",Notice,Notice.,2026-07-01,,,Health and Human Services Department; Health Resources and Services Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13309/lists-of-designated-primary-medical-care-mental-health-and-dental-health-professional-shortage-areas,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13309.pdf,True
2026-13308,"Foreign-Trade Zone (FTZ) 230, Notification of Proposed Production Activity; Corning Optical Communications LLC; (Fiber Optic Cables); Winston-Salem, North Carolina",Notice,,2026-07-01,,,Commerce Department; Foreign-Trade Zones Board,B-81-2026,https://www.federalregister.gov/documents/2026/07/01/2026-13308/foreign-trade-zone-ftz-230-notification-of-proposed-production-activity-corning-optical,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13308.pdf,True
2026-13307,"Foreign-Trade Zone (FTZ) 57, Notification of Proposed Production Activity; Corning Optical Communications LLC; (Fiber Optic Cables); Newton and Hickory, North Carolina",Notice,,2026-07-01,,,Commerce Department; Foreign-Trade Zones Board,B-80-2026,https://www.federalregister.gov/documents/2026/07/01/2026-13307/foreign-trade-zone-ftz-57-notification-of-proposed-production-activity-corning-optical,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13307.pdf,True
2026-13306,"Notice of Intent To Rule on a Land Release Request at North Platte Regional Airport (LBF), North Platte, NE",Notice,Notice of request to release airport land.,2026-07-01,,2026-07-31,Transportation Department; Federal Aviation Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13306/notice-of-intent-to-rule-on-a-land-release-request-at-north-platte-regional-airport-lbf-north-platte,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13306.pdf,True
2026-13305,Rescinding Regulations Related to Nondiscrimination in Federally Assisted Programs or Activities (General Provisions),Rule,Direct final rule; further delay of effective date.,2026-07-01,2026-12-28,,Energy Department,DOE-HQ-2025-0024,https://www.federalregister.gov/documents/2026/07/01/2026-13305/rescinding-regulations-related-to-nondiscrimination-in-federally-assisted-programs-or-activities,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13305.pdf,True
2026-13304,Rescinding Regulations Related to Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance,Rule,Direct final rule; further delay of effective date.,2026-07-01,2026-12-28,,Energy Department,DOE-HQ-2025-0025,https://www.federalregister.gov/documents/2026/07/01/2026-13304/rescinding-regulations-related-to-nondiscrimination-on-the-basis-of-sex-in-education-programs-or,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13304.pdf,True
2026-13303,Notice of OFAC Sanctions Actions,Notice,Notice.,2026-07-01,,,Treasury Department; Foreign Assets Control Office,,https://www.federalregister.gov/documents/2026/07/01/2026-13303/notice-of-ofac-sanctions-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13303.pdf,True
2026-13302,Integrated Low-Level Radioactive Waste Disposal,Proposed Rule,Proposed rule and draft guidance; public meeting; request for comment.,2026-07-01,,2026-08-17,Nuclear Regulatory Commission,"NRC-2011-0012, NRC-2015-0003, and NRC-2017-0081",https://www.federalregister.gov/documents/2026/07/01/2026-13302/integrated-low-level-radioactive-waste-disposal,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13302.pdf,True
2026-13301,"Safety Zone; Grand Traverse Bay, Traverse City, MI",Rule,Temporary final rule.,2026-07-01,2026-07-04,,Homeland Security Department; Coast Guard,Docket Number USCG-2026-0832,https://www.federalregister.gov/documents/2026/07/01/2026-13301/safety-zone-grand-traverse-bay-traverse-city-mi,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13301.pdf,True
2026-13300,"Proposed Amendment of Class C Airspace at Ontario International Airport, CA; Public Meeting",Proposed Rule,Notice of meeting.,2026-07-01,,2026-09-18,Transportation Department; Federal Aviation Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13300/proposed-amendment-of-class-c-airspace-at-ontario-international-airport-ca-public-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13300.pdf,True
2026-13299,Board of Directors Meeting,Notice,,2026-07-01,,,Farm Credit System Insurance Corporation,,https://www.federalregister.gov/documents/2026/07/01/2026-13299/board-of-directors-meeting,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13299.pdf,True
2026-13298,Quarterly IRS Interest Rates Used in Calculating Interest on Overdue Accounts and Refunds of Customs Duties,Notice,General notice.,2026-07-01,,,Homeland Security Department; U.S. Customs and Border Protection,,https://www.federalregister.gov/documents/2026/07/01/2026-13298/quarterly-irs-interest-rates-used-in-calculating-interest-on-overdue-accounts-and-refunds-of-customs,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13298.pdf,True
2026-13297,Sunshine Act Meetings,Notice,,2026-07-01,,,Farm Credit Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13297/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13297.pdf,True
2026-13296,Petition for Approval of Test Program,Notice,Notice.,2026-07-01,,2026-08-31,Transportation Department; Federal Railroad Administration,Docket Number FRA-2026-1421,https://www.federalregister.gov/documents/2026/07/01/2026-13296/petition-for-approval-of-test-program,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13296.pdf,True
2026-13295,Procedures in Regulating and Enforcing Unfair or Deceptive Practices,Rule,Final rule.,2026-07-01,2026-07-31,,Transportation Department; ,DOT-OST-2025-0633,https://www.federalregister.gov/documents/2026/07/01/2026-13295/procedures-in-regulating-and-enforcing-unfair-or-deceptive-practices,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13295.pdf,True
2026-13294,Enhancing Flexibility of Air Fare Price Advertising,Proposed Rule,Notice of Proposed Rulemaking (NPRM).,2026-07-01,,2026-07-31,Transportation Department; ,Docket No. DOT-OST-2025-0831,https://www.federalregister.gov/documents/2026/07/01/2026-13294/enhancing-flexibility-of-air-fare-price-advertising,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13294.pdf,True
2026-13293,Agency Information Collection Activities: Requests for Comments; Clearance of a Renewed Approval of Information Collection: Flight and Duty Limitations and Rest RequirementsFlightcrew Members,Notice,Notice and request for comments.,2026-07-01,,2026-07-31,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-5634,https://www.federalregister.gov/documents/2026/07/01/2026-13293/agency-information-collection-activities-requests-for-comments-clearance-of-a-renewed-approval-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13293.pdf,True
2026-13292,Agency Information Collection Activities; Comment Request on Relief for Certain Spouses of Military Personnel,Notice,Notice of information collection; request for comments.,2026-07-01,,2026-08-31,Treasury Department; Internal Revenue Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13292/agency-information-collection-activities-comment-request-on-relief-for-certain-spouses-of-military,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13292.pdf,True
2026-13291,Notice of Agreement Filed,Notice,,2026-07-01,,,Federal Maritime Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13291/notice-of-agreement-filed,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13291.pdf,True
2026-13290,Agency Information Collection Activities; Proposed Collection eComments Requested; Revision and Extension of a Previously Approved Collection; TitleCertification and Release of Records (Form EOIR-59),Notice,60-Day notice.,2026-07-01,,2026-08-31,Justice Department,OMB Number 1125-0017,https://www.federalregister.gov/documents/2026/07/01/2026-13290/agency-information-collection-activities-proposed-collection-ecomments-requested-revision-and,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13290.pdf,True
2026-13289,Hazardous Materials: Information Collection Activities,Notice,Notice and request for comments.,2026-07-01,,,Transportation Department; Pipeline and Hazardous Materials Safety Administration,Docket No. PHMSA-2026-0199 (Notice No. 2026-04),https://www.federalregister.gov/documents/2026/07/01/2026-13289/hazardous-materials-information-collection-activities,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13289.pdf,True
2026-13288,Notice of Proposed Purchased/Referred Care Delivery Area Redesignation for Ysleta Del Sur Pueblo,Notice,Notice.,2026-07-01,,2026-07-31,Health and Human Services Department; Indian Health Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13288/notice-of-proposed-purchasedreferred-care-delivery-area-redesignation-for-ysleta-del-sur-pueblo,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13288.pdf,True
2026-13287,Change in Bank Control Notices; Acquisitions of Shares of a Bank or Bank Holding Company,Notice,,2026-07-01,,,Federal Reserve System,,https://www.federalregister.gov/documents/2026/07/01/2026-13287/change-in-bank-control-notices-acquisitions-of-shares-of-a-bank-or-bank-holding-company,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13287.pdf,True
2026-13286,Accountability in Higher Education and Access Through Demand- Driven Workforce Pell: Student Tuition and Transparency System (STATS) and Earnings Accountability,Rule,Final rule.,2026-07-01,2027-07-01,,Education Department,Docket ID ED-2026-OPE-0100,https://www.federalregister.gov/documents/2026/07/01/2026-13286/accountability-in-higher-education-and-access-through-demand--driven-workforce-pell-student-tuition,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13286.pdf,True
2026-13285,Notice of Request for Revision to and Extension of Approval of an Information Collection; Virus-Serum-Toxin Act and Regulations,Notice,Revision to and extension of approval of an information collection; comment request.,2026-07-01,,2026-08-31,Agriculture Department; Animal and Plant Health Inspection Service,Docket No. APHIS-2026-0662,https://www.federalregister.gov/documents/2026/07/01/2026-13285/notice-of-request-for-revision-to-and-extension-of-approval-of-an-information-collection,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13285.pdf,True
2026-13284,Agency Information Collection Activities; Submission to the Office of Management and Budget; Depredation and Control Orders,Notice,Notice of information collection; request for comment.,2026-07-01,,,Interior Department; Fish and Wildlife Service,Docket No. FWS-HQ-MB-2026-2674; FXFR13350700001-267-FF07CAFB00; OMB Control Number 1018-0146,https://www.federalregister.gov/documents/2026/07/01/2026-13284/agency-information-collection-activities-submission-to-the-office-of-management-and-budget,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13284.pdf,True
2026-13283,Privacy Act of 1974; System of Records,Notice,Notice of a new system of records.,2026-07-01,,,Central Intelligence Agency,,https://www.federalregister.gov/documents/2026/07/01/2026-13283/privacy-act-of-1974-system-of-records,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13283.pdf,True
2026-13282,Mechanic Certification: Inspection Rating and Recent Experience Requirements,Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-07-01,,2026-08-31,Transportation Department; Federal Aviation Administration,Docket No.: FAA-2026-6671; Notice Nos. 26-08,https://www.federalregister.gov/documents/2026/07/01/2026-13282/mechanic-certification-inspection-rating-and-recent-experience-requirements,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13282.pdf,True
2026-13281,"Organization, Functions, and Procedures; Public Notice and Comment for Standards, Criteria, and Guidance Applicable to Forest Service Programs",Proposed Rule,Proposed rule.,2026-07-01,,2026-07-31,Agriculture Department; Forest Service,,https://www.federalregister.gov/documents/2026/07/01/2026-13281/organization-functions-and-procedures-public-notice-and-comment-for-standards-criteria-and-guidance,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13281.pdf,True
2026-13280,"Special Conditions: AMAC Aerospace, The Boeing Company Model 747- 8 Airplane; Side-Facing Seats",Rule,Final special conditions; request for comments.,2026-07-01,2026-07-01,2026-08-17,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-3768; Special Conditions No. 25-891-SC,https://www.federalregister.gov/documents/2026/07/01/2026-13280/special-conditions-amac-aerospace-the-boeing-company-model-747--8-airplane-side-facing-seats,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13280.pdf,True
2026-13279,Notice of OFAC Sanctions Actions,Notice,Notice.,2026-07-01,,,Treasury Department; Foreign Assets Control Office,,https://www.federalregister.gov/documents/2026/07/01/2026-13279/notice-of-ofac-sanctions-actions,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13279.pdf,True
2026-13278,Notice of OFAC Sanctions Action,Notice,Notice.,2026-07-01,,,Treasury Department; Foreign Assets Control Office,,https://www.federalregister.gov/documents/2026/07/01/2026-13278/notice-of-ofac-sanctions-action,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13278.pdf,True
2026-13277,"Tennessee Gas Pipeline Company, LLC, Southern Natural Gas Company, LLC, Elba Express Company, LLC; Notice of Availability of the Final Environmental Impact Statement for the Proposed Mississippi Crossing Project and South System Expansion 4 Project",Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,"Docket Nos. CP25-514-000, CP25-517-000",https://www.federalregister.gov/documents/2026/07/01/2026-13277/tennessee-gas-pipeline-company-llc-southern-natural-gas-company-llc-elba-express-company-llc-notice,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13277.pdf,True
2026-13276,Agency Information Collection Activities; Revision; Entry/ Immediate Delivery Application and ACE Cargo Release,Notice,60-Day notice and request for comments.,2026-07-01,,,Homeland Security Department; U.S. Customs and Border Protection,OMB Control Number 1651-0024,https://www.federalregister.gov/documents/2026/07/01/2026-13276/agency-information-collection-activities-revision-entry-immediate-delivery-application-and-ace-cargo,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13276.pdf,True
2026-13275,"Texas Gas Transmission, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Dearborn County Lateral Project",Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,Docket No. CP26-536-000,https://www.federalregister.gov/documents/2026/07/01/2026-13275/texas-gas-transmission-llc-notice-of-scoping-period-requesting-comments-on-environmental-issues-for,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13275.pdf,True
2026-13274,Notice of Formal Determination on Records Release,Notice,Notice.,2026-07-01,,,Civil Rights Cold Case Records Review Board,Agency Docket Number: CRCCRRB-2026-0014-N,https://www.federalregister.gov/documents/2026/07/01/2026-13274/notice-of-formal-determination-on-records-release,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13274.pdf,True
2026-13273,Agency Information Collection Activities; Revision; Entry Summary,Notice,60-Day notice and request for comments.,2026-07-01,,,Homeland Security Department; U.S. Customs and Border Protection,OMB Control Number 1651-0022,https://www.federalregister.gov/documents/2026/07/01/2026-13273/agency-information-collection-activities-revision-entry-summary,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13273.pdf,True
2026-13272,Agency Information Collection Activity Under OMB Review: Adaptive Sports Grant Application,Notice,Notice.,2026-07-01,,2026-07-31,Veterans Affairs Department,OMB Control No. 2900-0820,https://www.federalregister.gov/documents/2026/07/01/2026-13272/agency-information-collection-activity-under-omb-review-adaptive-sports-grant-application,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13272.pdf,True
2026-13271,"Southeast Alaska Power Agency; Notice of Intent To File License Application, Filing of Pre-Application Document, and Approving Use of the Traditional Licensing Process",Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,Project No. 3015-020,https://www.federalregister.gov/documents/2026/07/01/2026-13271/southeast-alaska-power-agency-notice-of-intent-to-file-license-application-filing-of-pre-application,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13271.pdf,True
2026-13270,"Agency Information Collection Activities; Revision; Extension; Cargo Manifest/Declaration, Stow Plan, Container Status Messages and Importer Security Filing",Notice,60-Day notice and request for comments.,2026-07-01,,,Homeland Security Department; U.S. Customs and Border Protection,OMB Control Number 1651-0001,https://www.federalregister.gov/documents/2026/07/01/2026-13270/agency-information-collection-activities-revision-extension-cargo-manifestdeclaration-stow-plan,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13270.pdf,True
2026-13269,"Village of Saranac Lake; Notice of Application Ready for Environmental Analysis and Soliciting Comments, Recommendations, Terms and Conditions, and Prescriptions",Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,Project No. 8369-050,https://www.federalregister.gov/documents/2026/07/01/2026-13269/village-of-saranac-lake-notice-of-application-ready-for-environmental-analysis-and-soliciting,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13269.pdf,True
2026-13268,Establishment of the Alliance of National Councils for Homeland Operational ResilienceCritical Infrastructure (ANCHOR-CI),Notice,Notice of the establishment of the Alliance of National Councils for Homeland Operational Resilience--Critical Infrastructure.,2026-07-01,,,Homeland Security Department,Docket No. DHS-2025-0580,https://www.federalregister.gov/documents/2026/07/01/2026-13268/establishment-of-the-alliance-of-national-councils-for-homeland-operational-resiliencecritical,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13268.pdf,True
2026-13267,Fisheries of the South Atlantic; 2026 South Atlantic Red Snapper Commercial Fishing Season,Rule,Temporary rule; commercial fishing season.,2026-07-01,,,Commerce Department; National Oceanic and Atmospheric Administration,Docket No. 1710319998630-02; RTID 0648-XF836,https://www.federalregister.gov/documents/2026/07/01/2026-13267/fisheries-of-the-south-atlantic-2026-south-atlantic-red-snapper-commercial-fishing-season,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13267.pdf,True
2026-13266,Combined Notice of Filings,Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13266/combined-notice-of-filings,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13266.pdf,True
2026-13265,Combined Notice of Filings #2,Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13265/combined-notice-of-filings-2,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13265.pdf,True
2026-13264,Combined Notice of Filings #1,Notice,,2026-07-01,,,Energy Department; Federal Energy Regulatory Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13264/combined-notice-of-filings-1,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13264.pdf,True
2026-13263,Revisions To Establish the Sixth Unregulated Contaminant Monitoring Rule (UCMR 6) for Public Water Systems,Proposed Rule,Proposed rule; notice of public meeting.,2026-07-01,,2026-07-31,Environmental Protection Agency,EPA-HQ-OW-2023-0469; FRL-10857-03-OW,https://www.federalregister.gov/documents/2026/07/01/2026-13263/revisions-to-establish-the-sixth-unregulated-contaminant-monitoring-rule-ucmr-6-for-public-water,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13263.pdf,True
2026-13262,New Postal Products,Notice,Notice.,2026-07-01,,2026-07-06,Postal Regulatory Commission,Docket Nos. CP2022-34,https://www.federalregister.gov/documents/2026/07/01/2026-13262/new-postal-products,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13262.pdf,True
2026-13261,"List of Approved Spent Fuel Storage Casks: NAC International, Inc., MAGNASTOR® Storage System, Certificate of Compliance No. 1031, Amendment Nos. 16 and 17 and Revisions to Amendment Nos. 0 Through 16",Proposed Rule,Proposed rule.,2026-07-01,,2026-07-31,Nuclear Regulatory Commission,NRC-2026-2047,https://www.federalregister.gov/documents/2026/07/01/2026-13261/list-of-approved-spent-fuel-storage-casks-nac-international-inc-magnastor-storage-system-certificate,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13261.pdf,True
2026-13260,"List of Approved Spent Fuel Storage Casks: NAC International, Inc., MAGNASTOR® Storage System, Certificate of Compliance No. 1031, Amendment Nos. 16 and 17 and Revisions to Amendment Nos. 0 Through 16",Rule,Direct final rule.,2026-07-01,2026-09-14,2026-07-31,Nuclear Regulatory Commission,NRC-2026-2047,https://www.federalregister.gov/documents/2026/07/01/2026-13260/list-of-approved-spent-fuel-storage-casks-nac-international-inc-magnastor-storage-system-certificate,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13260.pdf,True
2026-13258,"Agency Information Collection Activities; Extension, Without Change, of a Currently Approved Collection: Request for a Certificate of Non-Existence",Notice,30-Day notice.,2026-07-01,,2026-07-31,Homeland Security Department; U.S. Citizenship and Immigration Services,OMB Control Number 1615-0156,https://www.federalregister.gov/documents/2026/07/01/2026-13258/agency-information-collection-activities-extension-without-change-of-a-currently-approved-collection,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13258.pdf,True
2026-13257,"Decommission Remote Communications Outlets (RCOS) Used by Flight Service Stations Within the Conterminous United States, Hawaii, and Puerto Rico",Notice,Notice of final decision.,2026-07-01,,,Transportation Department; Federal Aviation Administration,Docket No. FAA-2025-0558,https://www.federalregister.gov/documents/2026/07/01/2026-13257/decommission-remote-communications-outlets-rcos-used-by-flight-service-stations-within-the,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13257.pdf,True
2026-13256,Agency Information Collection Activities; Proposed eCollection eComments Requested; Revision of a Previously Approved Collection; Credit Card Payment Form (1-786),Notice,60-Day notice.,2026-07-01,,2026-08-31,Justice Department,OMB Number 1110-0070,https://www.federalregister.gov/documents/2026/07/01/2026-13256/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13256.pdf,True
